Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64 GNU/Linux
Sep 02 22:22:07 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 19 @ 1.811289 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 92 @ 1.821185 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 13 @ 1.831205 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 93 @ 1.841089 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 94 @ 1.860992 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 95 @ 1.880894 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 96 @ 1.900798 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 20 @ 1.910811 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 97 @ 1.920700 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 98 @ 1.940603 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 14 @ 1.950617 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 99 @ 1.960505 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 100 @ 1.980408 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 101 @ 2.000311 sec on core 3
